Rank,Actual Rank,Team Name,GP*,G,A,+/-,PIM,PPP,SHP,SOG,FW,HIT,BLK,GP*,W,GAA,SA,SV%,SHO
20,1,/u/BuffaloSobbers1,116,30,30,-6,57,24,2,284,382,149,93,15,11,2.94,501,0.912,2
20,1,/u/Hotwired38,98,20,61,22,80,27,2,227,399,130,73,10,6,1.9,319,0.94,1
18,3,/u/canadaq,118,31,45,9,93,27,4,278,207,163,74,12,3,2.95,349,0.908,1
17,4,/u/joey3140,122,24,58,3,53,28,2,250,163,118,83,10,6,2.41,302,0.924,2
17,4,/u/crayfishparty2,119,22,49,-16,40,24,1,293,250,130,70,12,9,1.83,394,0.944,1
15,6,/u/acegfx,116,34,38,22,28,11,4,229,367,68,83,11,8,2.27,339,0.926,1
14,7,/u/xprmnts,123,28,44,20,69,11,3,299,250,144,83,12,8,3.09,363,0.904,0
13,8,/u/Dangled0re,120,26,39,-10,90,21,1,249,301,143,96,11,9,2.8,326,0.911,1
12,9,/u/scomar201,120,25,44,20,53,24,1,231,308,92,98,11,5,2.39,261,0.923,1
11,10,/u/xskilledsnipax,128,30,48,2,66,24,3,300,49,129,109,12,4,3.38,352,0.898,0
10,11,/u/TheManagement,114,29,28,-8,53,14,0,240,234,161,109,13,6,2.48,412,0.925,1
9,12,/u/rjupp24,121,16,53,-30,80,26,0,279,199,124,100,9,5,2.68,257,0.914,0
8,13,/u/flykessel,107,24,37,-15,48,23,2,185,407,123,81,8,4,3,243,0.914,1
7,14,Huge's Real Gud Pros,105,24,30,-12,103,12,1,232,227,167,85,7,3,2.96,186,0.903,0
6,15,/u/mcgrevin,119,27,47,-27,85,23,1,259,221,165,62,9,1,3.22,222,0.892,0
6,15,/u/phoninghome,102,22,45,-22,58,21,0,217,252,93,117,7,3,2.54,203,0.916,0
4,17,/u/idrisk2000,114,27,49,-7,36,28,2,252,224,81,56,5,1,2.87,128,0.891,0
3,18,/u/Truxa,122,19,40,-3,66,19,0,300,164,120,84,8,4,3.61,251,0.896,0
2,19,u/ctrl_alt_karma,93,30,30,15,59,21,0,212,117,102,67,9,3,3.2,248,0.899,1
1,20,/u/ninjaemperor,97,22,35,5,62,16,2,203,277,82,60,7,1,4.68,238,0.87,0